id,name,category,description,address,phone,website,status,specialty,keywords,photo_url,booking_url,search_tags,member_note,hospital_affiliation,instagram_url,rating,user_ratings_total,lat,lng,created_at
23,Triangle Family Dentistry - Fuquay-Varina,Healthcare,Family dentistry practice.,"1625 N Main St, Fuquay-Varina, NC 27526",(919) 396-5802,https://www.trianglefamilydentistry.com,approved,Dentistry,{},,,{},,,,4.7,515,35.5966186,-78.76122149999999,2026-03-08 04:48:11.536862
24,Triangle Family Dentistry - Holly Springs,Healthcare,Family dentistry practice.,"1070 S Main St, Holly Springs, NC 27540",(984) 201-0245,https://www.trianglefamilydentistry.com,approved,Dentistry,{},,,{},,,,5.0,220,35.634671499999996,-78.83778830000001,2026-03-08 04:48:11.589067
25,Triangle Family Dentistry - Morrisville,Healthcare,Family dentistry practice.,"3607 Davis Dr, Morrisville, NC 27560",(919) 296-4016,https://www.trianglefamilydentistry.com,approved,Dentistry,{},,,{},,,,4.4,694,35.8213109,-78.8497943,2026-03-08 04:48:11.640352
26,Triangle Family Dentistry - Pittsboro,Healthcare,Family dentistry practice.,"50 Lifestyle Pl, Pittsboro, NC 27312",(984) 282-7813,https://www.trianglefamilydentistry.com,approved,Dentistry,{},,,{},,,,4.9,69,35.7562831,-79.16601630000001,2026-03-08 04:48:11.732851
27,Triangle Family Dentistry - Rolesville,Healthcare,Family dentistry practice.,"101 Redford Place Dr, Rolesville, NC 27571",(919) 396-5710,https://www.trianglefamilydentistry.com,approved,Dentistry,{},,,{},,,,4.8,142,35.9186583,-78.4641584,2026-03-08 04:48:11.784433
28,Triangle Family Dentistry - Wake Forest Heritage,Healthcare,Family dentistry practice.,"1936 Heritage Branch Rd, Wake Forest, NC 27587",(984) 401-9001,https://www.trianglefamilydentistry.com,approved,Dentistry,{},,,{},,,,4.8,153,35.9496792,-78.5187479,2026-03-08 04:48:11.835388
29,Triangle Family Dentistry - Wake Forest Rogers,Healthcare,Family dentistry practice.,"3415 Rogers Rd, Wake Forest, NC 27587",(919) 396-5657,https://www.trianglefamilydentistry.com,approved,Dentistry,{},,,{},,,,4.6,691,35.950817,-78.51179619999999,2026-03-08 04:48:11.886559
30,Crescent Private Wealth,Services,Private wealth management and financial advisory services.,"1400 Crescent Green Suite 100, Cary, NC 27518, USA",(919) 439-6090,https://www.crescentpw.com/,approved,,"{""Halal investing"",""Financial planning""}",,,{},,,,,,35.7347985,-78.78453809999999,2026-03-08 04:48:42.05188
31,Triland Commercial,Real Estate,Commercial real estate brokerage and development.,"Triangle, NC",(919) 443-3034,http://www.trilandcre.com/,approved,,{},,,{},,,,4.3,3,35.7347985,-78.78453809999999,2026-03-08 04:48:42.107596
32,"Dr. Amjad Badwan, OD",Healthcare,Optometrist providing comprehensive eye care services.,"Triangle, NC",(919) 859-0777,http://www.wakefamilyeyecare.com/,approved,Optometry,{},,,{},,,,4.8,13,35.7454122,-78.7675787,2026-03-08 04:48:42.159193
33,"Dr. Abood Dahnoun, OD",Healthcare,Optometrist providing vision care and eye exams.,"7800 Fayetteville Rd, Raleigh, NC 27603, USA",(984) 810-5045,https://seemoreod.com/,approved,Optometry,"{Arabic-speaking,""Accepts insurance""}",,,{},,,,5.0,14,35.6683503,-78.6986666,2026-03-08 04:48:42.209322
34,"Dr. Ali Jaffry, OD",Healthcare,"Offers comprehensive eye exams and optical services at his MyEyeDr. location in Raleigh's Village District, where patients appreciate his attentive, honest approach to care. Whether you're due for a routine checkup or need help finding the right eyewear, Dr. Jaffry and his team are known for their friendly, professional service.","2024 Cameron St, Raleigh, NC 27605, USA",(919) 863-2015,https://locations.myeyedr.com/nc/raleigh/2024-cameron-st,approved,Optometry,"{""Male provider"",""Accepts insurance"",""Walk-ins welcome""}",,,{},,MyEyeDr,,4.2,5,35.7912934,-78.660188,2026-03-08 04:48:42.259957
36,Your Budget Movers,Services,Affordable moving services in the Triangle area.,"Triangle, NC",(919) 504-2203,http://www.yourbudgetmover.com/,approved,,{},,,{},,,,4.7,501,35.898596399999995,-78.8946268,2026-03-08 04:48:42.362816
37,RDU Pressure Pros,Services,Professional pressure washing and exterior cleaning.,"Triangle, NC",(919) 436-2108,http://www.rdupressurepros.com/,approved,,{},,,{},,,,5.0,87,35.8031827,-78.8067173,2026-03-08 04:48:42.415346
38,AM Realty Group,Real Estate,Real estate agency serving the Triangle area.,"Triangle, NC",(910) 474-3626,http://www.amrealtygroupllc.com/,approved,,{},,,{},,,,5.0,97,35.8446807,-78.641926,2026-03-08 04:48:42.466155
39,Raleigh Moving Company,Services,"Raleigh Moving Company was built to change the moving industry. Through our transparent pricing and customized quality of service, we believe there is a better experience waiting for you! We offer local & long distance moving, commercial moving and packing/unpacking services.","517 Pylon Dr, Raleigh, NC 27606, USA","919.694.3788
",https://www.raleighmovingcompany.com,approved,,{},,,{},,,https://www.instagram.com/raleighmovingcompany/?hl=en,5.0,2357,35.7937373,-78.70076159999999,2026-03-08 05:00:35.867106
40,Curate Studio,Events,"Event venue and rental space. 2,800 sq ft open floor plan with industrial-chic design, platform stage, padded hardwood flooring, mirrored walls, 6-speaker sound system, and wall-mounted TVs. Capacity up to 100 guests. Perfect for birthdays, showers, graduations, corporate events, micro-weddings, and photoshoots.","3651 Green Level W Rd Suite 101, Apex, NC 27523, USA",(919) 589-3436,http://www.curatestudioevents.com/,approved,Venue,{Women-owned},,,"{""event space"",""party hall"",""community room""}",,,https://www.instagram.com/curatestudioevents/,5.0,142,35.7779112,-78.9046644,2026-03-09 01:13:44.582638
41,Mousa Alshanteer,Services,"Healthcare, Business, Corporate, Mergers & Acquisitions, and Transactional.","230 North Elm Street, 2000 Renaissance Plaza, Greensboro, NC 27401",(336) 373-8850,https://www.brookspierce.com/people-mousa-alshanteer,approved,,{},,,"{lawyer,attorney,legal}",Member of NC Muslim Bar,Brooks Pierce,,,,,,2026-03-09 02:54:41.818681
43,Patterson Harkavy LLP,Services,"Practice Areas: Civil Rights, Employment, Workers Compensation, Labor, Police Misconduct. Please contact the firm by phone or email (office@pathlaw.com) to see if they can help you with your case.","100 Europa Drive, Suite 420, Chapel Hill, NC 27517",(919) 942-5200,https://www.pathlaw.com,approved,,{},,,"{lawyer,attorney,legal}",Member of NC Muslim Bar,,,,,,,2026-03-09 02:54:41.939477
44,"Ayeshinaye Smith, Esq.",Services,"Family Law and Estates (Planning, Administration, and Guardianship)","4816 Six Forks Road, Suite 202, Raleigh, NC 27609",(919) 390-3512,https://www.smithdominguez.com,approved,,{Women-owned},,,"{lawyer,attorney,legal}",Member of NC Muslim Bar,Smith Dominguez Law,,,,,,2026-03-09 02:54:41.997757
45,"The Law Office of Derrick J. Hensley, PLLC",Services,"Child Welfare/Adoptions, Immigration, and International Family Law.","401 Meadowlands Dr. Ste. 201, Hillsborough, NC 27278",(919) 480-1999,https://www.LODJH.com,approved,,{},,,"{lawyer,attorney,legal}",Member of NC Muslim Bar,The Law Office of Neubia L. Harris PLLC,,,,,,2026-03-09 02:54:42.055159
46,Safwan Ali,Services,Immigration and Traffic,"PO Box 1046, Henderson, NC 27536",(919) 213-1945,https://www.alilawfirm.net,approved,,{},,,"{lawyer,attorney,legal}",Member of NC Muslim Bar,Ali Law Firm PLLC,,,,,,2026-03-09 02:54:42.111996
47,Omar Baloch,Services,Immigration,"8801 Fast Park Drive, Suite 313, Raleigh, NC 27617",(919) 834-3535,https://www.balochlaw.com,approved,,{},,,"{lawyer,attorney,legal}",Member of NC Muslim Bar,"The Law Offices of Omar Baloch, PLLC",,,,,,2026-03-09 02:54:42.168637
48,Nigel Edwards,Services,"Immigration, excluding business immigration.","8801 Fast Park Drive, Suite 313, Raleigh, NC 27617",(919) 834-3535,https://www.balochlaw.com,approved,,{},,,"{lawyer,attorney,legal}",Member of NC Muslim Bar,"The Law Offices of Omar Baloch, PLLC",,,,,,2026-03-09 02:54:42.225675
49,Pooyan Ordoubadi,Services,"Immigration, Criminal Defense, and Family Law.","33 Hillsboro Street, Pittsboro, NC 27312",(919) 351-1101,https://pordolaw.com,approved,,{},,,"{lawyer,attorney,legal}",Member of NC Muslim Bar,Law Office of Pooyan Ordoubadi,,,,,,2026-03-09 02:54:42.282519
56,Sammy Naji,Services,"Personal Injury, Wills, Trusts, Litigation, Business Law","2500 Regency Parkway, Cary, NC 27518",(919) 590-3647,https://www.triangle.legal/,approved,,{Arabic-speaking},,,"{lawyer,attorney,legal}",Member of NC Muslim Bar,Triangle Legal,,,,,,2026-03-09 05:17:31.027927
57,Nada Mohamed,Services,"Estate Planning, Real Estate Transactions","64 Forest View Place, Durham, NC 27713",(919) 808-0067,https://nrmlawoffice.com,approved,,{},,,"{lawyer,attorney,legal}",Member of NC Muslim Bar,"Law Office of Nada Mohamed, PLLC",,,,,,2026-03-09 05:17:31.084133
58,Hay'ralah Alghorazi,Services,Estate Planning,"2500 Regency Parkway, Cary, NC 27518",(919) 590-3647,https://www.triangle.legal/,approved,,{Arabic-speaking},,,"{lawyer,attorney,legal}",Member of NC Muslim Bar,Triangle Legal,,,,,,2026-03-09 05:17:31.140324
69,"Dr. Osama Said, OD",Healthcare,Optometrist specializing in comprehensive eye exams,"6566 Glenwood Ave, Raleigh, NC 27612, USA",(919) 783-0011,https://locations.myeyedr.com/nc/raleigh/6566-glenwood-ave?utm_source=google-gmb&utm_medium=organic,approved,Optometry,"{""Male provider"",""Accepts insurance"",Arabic-speaking}",,https://locations.myeyedr.com/nc/raleigh/6566-glenwood-ave,{},,MyEyeDr,,3.6,102,35.8612593,-78.7059003,2026-03-10 05:20:47.151273
70,Hanane Jamili,Creator,"Hanane Jamili Collection was built to give art a deeper meaning. Through a collaborative process and a passion for storytelling through canvas, Hanane believes there is a more personal connection waiting between you and your walls. She offers original paintings, Arabic calligraphy, curated seasonal collections, and custom commissioned pieces — all created to bring beauty, resistance, and heart into your home.",Triangle Area,,https://www.hananejamili.com/,approved,Artist,"{Artist,Women-owned}",https://www.hananejamili.com/cdn/shop/files/Screenshot_2025-03-11_232807.png,,{},,Hanane Jamili Collection,https://www.instagram.com/hanane_jamili_collection?igsh=eHBrbWkxaXBwM2Nq,,,,,2026-03-10 14:35:28.713302
81,IRIMA General Contracting,Services,General contracting and construction services,,,https://www.google.com/maps/place/IRIMA+General+Contracting,approved,,{},,,{},,,https://www.instagram.com/buildirima/,,,35.8406256,-78.7291235,2026-03-10 16:38:10.902171
82,Mecca Market,Grocery,,"3913 Western Blvd, Raleigh, NC 27606, USA",(919) 615-1286,https://mecca-market.com/,approved,,{},,,{},,,,4.4,796,35.784016,-78.690765,2026-03-11 01:02:48.685333
83,Inline Auto Sale,Automotive,,"2900 N Main St, Fuquay-Varina, NC 27526, USA",(919) 557-0021,https://www.inlineautosale.com/,approved,,{},,,{},,,,4.5,1821,35.6152813,-78.7353996,2026-03-11 04:40:55.593277
84,The Rumman Room,Events,,"5104 Western Blvd STE A, Raleigh, NC 27606, USA",(919) 946-3687,https://www.rummanroom.com/,approved,Venue,{},,,{},,,,4.8,21,35.786966899999996,-78.7113686,2026-03-11 04:41:27.873785
85,North Hills Motors of Raleigh NC,Automotive,,"5108 Western Blvd, Raleigh, NC 27606, USA",(919) 834-4444,http://www.northhillsmotors.com/,approved,,{Arabic-speaking},,,{},,,,4.6,819,35.7869443,-78.7119026,2026-03-11 04:41:57.868424
86,Classic Performance Auto,Automotive,,"1012 Trinity Rd, Raleigh, NC 27607, USA",(919) 233-5381,https://www.classicperformanceauto.com/,approved,,{},,,{},,,,4.2,148,35.7928346,-78.7509255,2026-03-11 04:42:30.688819
87,Foursquare Property Management,Real Estate,,"4509 Creedmoor Rd Suite 201, Raleigh, NC 27612, USA",(919) 977-6508,http://www.foursquarenc.com/,approved,,{},,,{},,,,4.7,127,35.842445399999995,-78.683267,2026-03-11 04:43:39.198225
88,Zakat Foundation of America Community Center,Events,,"5110 Revere Rd, Durham, NC 27713, USA",,https://zakat.org/,approved,,{},,,{},,,,4.7,12,35.8943467,-78.9112644,2026-03-11 04:44:03.259331
89,"Dr. Nouman Siddiqui, MD",Healthcare,,"4201 Lake Boone Trail Suite 205, Raleigh, NC 27607, USA",(919) 659-8436,http://ncglaucoma.com/,approved,Ophthalmology,"{Urdu-speaking,""Male provider"",""Accepts insurance""}",,,{},,,,4.6,42,35.814712,-78.7005401,2026-03-11 04:45:05.133341
90,"Dr, Ruhina Shemna, OD",Healthcare,,"2346 Walnut St, Cary, NC 27518, USA",(919) 851-0093,https://locations.myeyedr.com/nc/cary/2346-walnut-st,approved,Optometrist,{},,,{},,,,4.0,5,35.7545886,-78.74547319999999,2026-03-11 04:46:43.47045
91,Dr. Sarah Cheema,Healthcare,,"216 Ashville Ave # 60, Cary, NC 27518, USA",(919) 655-7873,http://www.tkcpediatrics.com/,approved,Pediatrics,"{Pediatric,""Female provider"",Women-owned,Urdu-speaking}",,,{},,,,4.9,107,35.741313,-78.783429,2026-03-11 04:50:09.138412
92,Khalifa Rugs,Retail,"Offers a stunning collection of hand-knotted silk and wool oriental rugs, available by appointment for a personalized shopping experience. Whether you're searching for one statement piece or building a collection, the knowledgeable staff is ready to help you find the perfect rug.","2100 Barnes St, Reidsville, NC 27320, USA",(984) 212-3899,https://khalifaorientalrugs.com/,approved,,{Urdu-speaking},,,{},,,,5.0,4,36.325645,-79.6417179,2026-03-11 05:01:41.262101
103,NC Halal Meat,Grocery,"Premium-quality, ethically sourced halal lamb, beef, and goat in a variety of cuts, available for order online with delivery or pickup. Known for their freshness, authenticity, and warm customer service, they're a trusted source for families seeking high-quality meat in the region.","6301 US Hwy 13 S, Mt Olive, NC 28365, USA",(919) 999-0040,https://www.nchalalmeat.com/,approved,,"{zabiha,halal,chicken,beef,goat,lamb,""petting zoo"",Zabiha,""Halal meat"",Arabic-speaking}",,,{},,,,4.8,20,35.274763199999995,-78.2871435,2026-03-11 15:11:16.551935
108,Fenn Makeup and Spa by Amani,Services,"Beauty studio in Raleigh offering professional makeup artistry, skin treatments, and waxing services, with Arabic-speaking staff to make every client feel at home. Whether you're preparing for a special occasion or treating yourself to a relaxing skincare session, Amani's personalized approach and expert touch ensure you leave feeling confident and beautiful.","930 Vintage Jones Wy, Raleigh, NC 27606, USA",(984) 286-5857,https://www.fennmakeupandspa.com/,approved,,"{Women-owned,Arabic-speaking}",,,"{wedding,bridal,makeup}",,,,5.0,40,35.766513599999996,-78.7265865,2026-03-11 20:06:46.226517
144,Sound Station and Security,Automotive,,"7105 Glenwood Ave, Raleigh, NC 27612, USA",(919) 758-8404,http://www.soundstationsecurity.net/,approved,,"{Arabic-speaking,""Walk-ins welcome""}",,,{},,,,4.2,320,35.864044199999995,-78.7152231,2026-03-13 17:16:39.198381
146,"Asma Abu-Dahab, LCSW",Healthcare,Muslim therapist offering mental health counseling services.,Telehealth,646-759-9729,https://www.asmaabudahab.com,approved,Licensed Clinical Social Worker,{Out-of-Network},,,"{therapist,counselor,mental-health,telehealth}",,,,,,,,2026-03-13 20:28:11.464577
147,"Asil Abuhammoud, LCMHCA",Healthcare,Muslim therapist offering mental health counseling services.,"Raleigh, NC",984-400-8110,https://www.psychologytoday.com,approved,Licensed Clinical Mental Health Counselor Associate,"{BCBS,Cigna,Aetna,UHC,Medcost}",,,"{therapist,counselor,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
148,"Mariam Abdulraheem, LCSWA, LCASA",Healthcare,Muslim therapist offering mental health counseling services.,Telehealth,984-357-1073,https://www.psychologytoday.com,approved,Licensed Clinical Social Worker Associate,{Self-Pay},,,"{therapist,counselor,mental-health,telehealth}",,,,,,,,2026-03-13 20:28:11.464577
149,"Zumrad Ahmedjanova, LCSW, LCAS, CCS",Healthcare,Muslim therapist offering mental health counseling services.,"Chapel Hill, NC",919-636-9170,https://www.artofwellnessnc.com,approved,Licensed Clinical Social Worker,"{BCBS,Out-of-Network}",,,"{therapist,counselor,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
150,"Dunya Alkaissi, Counseling Intern",Healthcare,Muslim therapist offering mental health counseling services.,"Raleigh, NC",919-877-6221,https://wefixbrains.com/therapists/,approved,Counseling Intern,"{Self-Pay,Sliding-Scale}",,,"{therapist,counselor,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
151,"Ola Alrokh, LCMHCA",Healthcare,Muslim therapist offering mental health counseling services.,"Ayden, NC / Telehealth",252-262-2723,https://www.psychologytoday.com,approved,Licensed Clinical Mental Health Counselor Associate,{},,,"{therapist,counselor,mental-health,telehealth}",,,,,,,,2026-03-13 20:28:11.464577
152,"Aisha Al-Qimlass, PhD, LCMHC",Healthcare,Muslim therapist offering mental health counseling services.,"Raleigh, NC",919-759-6181,https://www.creasman-counseling.com,approved,Licensed Clinical Mental Health Counselor,"{BCBS,Cigna,Aetna,UHC}",,,"{therapist,counselor,mental-health,psychologist}",,,,,,,,2026-03-13 20:28:11.464577
153,"Perihan Akcan Aydin, PhD, LCMHC",Healthcare,Muslim therapist offering mental health counseling services.,Telehealth,919-980-9586,https://www.creasman-counseling.com,approved,Licensed Clinical Mental Health Counselor,"{BCBS,UHC,Out-of-Network}",,,"{therapist,counselor,mental-health,psychologist,telehealth}",,,,,,,,2026-03-13 20:28:11.464577
154,"Azleena Saleh Azhar, LCSWA",Healthcare,Muslim therapist offering mental health counseling services.,"Durham, NC",919-298-8107,https://www.threeoaksbehavioralhealth.com,approved,Licensed Clinical Social Worker Associate,"{BCBS,Aetna,Cigna,Out-of-Network}",,,"{therapist,counselor,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
155,"Lena Azzam, LPC, LCMHC",Healthcare,Muslim therapist offering mental health counseling services.,Telehealth,910-502-0773,https://www.mindfulwavestherapy.com,approved,Licensed Professional Counselor,{Self-Pay},,,"{therapist,counselor,mental-health,telehealth}",,,,,,,,2026-03-13 20:28:11.464577
156,"Sufanna Bernarduci, LCSW",Healthcare,Muslim therapist offering mental health counseling services.,"Raleigh, NC",919-551-3673,https://www.blisstherapeutics.org,approved,Licensed Clinical Social Worker,"{BCBS,Cigna,Aetna,UHC,Oscar-Health}",,,"{therapist,counselor,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
157,"Vanessa Gharbi, LCSW",Healthcare,Muslim therapist offering mental health counseling services.,Telehealth,336-360-6084,https://www.outliercounselingandwellness.com,approved,Licensed Clinical Social Worker,"{BCBS,Aetna,Cigna}",,,"{therapist,counselor,mental-health,telehealth}",,,,,,,,2026-03-13 20:28:11.464577
158,"Farah Hamouda, Counseling Intern",Healthcare,Muslim therapist offering mental health counseling services.,"Durham, NC",919-977-0087,https://creasman-counseling.com,approved,Counseling Intern,"{Self-Pay,Sliding-Scale}",,,"{therapist,counselor,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
159,"Ameenah Ikram, PsyD",Healthcare,Muslim psychologist offering mental health services.,"Raleigh, NC",919-626-8940,https://www.breytapsych.com,approved,Psychologist,{Out-of-Network},,,"{therapist,psychologist,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
160,"Adeeba Issa, LCMHCS, LPC",Healthcare,Muslim therapist offering mental health counseling services.,"Knightdale, NC",919-892-6868,https://www.threeoaksbehavioralhealth.com,approved,Licensed Clinical Mental Health Counselor Supervisor,"{BCBS,Aetna,Cigna,Out-of-Network}",,,"{therapist,counselor,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
161,"Nora Judeh, LCMHC",Healthcare,Muslim therapist offering mental health counseling services.,Telehealth,919-670-5141,https://www.psychologytoday.com,approved,Licensed Clinical Mental Health Counselor,"{BCBS,Aetna,UHC,Medcost}",,,"{therapist,counselor,mental-health,telehealth}",,,,,,,,2026-03-13 20:28:11.464577
162,"Nahal Kaivan, PhD",Healthcare,Muslim psychologist offering mental health services.,Telehealth,347-754-3776,https://www.drnahalkaivan.com,approved,Psychologist,"{BCBS,Aetna,Out-of-Network}",,,"{therapist,psychologist,mental-health,telehealth}",,,,,,,,2026-03-13 20:28:11.464577
163,"Amber Khan, PhD, LCMHC",Healthcare,Muslim therapist offering mental health counseling services.,"Greensboro, NC",336-750-6820,http://www.healinghivecounseling.com,approved,Licensed Clinical Mental Health Counselor,{Out-of-Network},,,"{therapist,counselor,mental-health,psychologist}",,,,,,,,2026-03-13 20:28:11.464577
164,"Aisha Lewis, LCSWA",Healthcare,Muslim therapist offering mental health counseling services.,"Wake Forest, NC",919-635-9460,https://harmony360counseling.com,approved,Licensed Clinical Social Worker Associate,"{BCBS,Cigna,Aetna,UHC,Medicaid}",,,"{therapist,counselor,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
165,"Suffi Makkar, LCSWA",Healthcare,Muslim therapist offering mental health counseling services.,"Raleigh, NC",984-265-7809,https://www.psychologytoday.com,approved,Licensed Clinical Social Worker Associate,{Aetna},,,"{therapist,counselor,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
166,"Baseer Maroof, LCSW",Healthcare,Muslim therapist offering mental health counseling services.,"Raleigh, NC",919-783-8377,https://www.acapraleigh.com,approved,Licensed Clinical Social Worker,"{BCBS,Cigna,Aetna,Tricare,Ambetter}",,,"{therapist,counselor,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
167,"Amal Mebrat, LCMHCA",Healthcare,Muslim therapist offering mental health counseling services.,Telehealth,704-742-2748,https://www.psychologytoday.com,approved,Licensed Clinical Mental Health Counselor Associate,{BCBS},,,"{therapist,counselor,mental-health,telehealth}",,,,,,,,2026-03-13 20:28:11.464577
168,"Malaak Mohammad, LCSWA",Healthcare,"Malaak Mohammad is a Licensed Clinical Social Worker Associate practicing with Three Oaks Behavioral Health & Wellness in Raleigh, offering compassionate, evidence-based individual, couples, and family therapy to support your mental, emotional, and spiritual well-being. She accepts BCBS, Aetna, and Cigna insurance and is also available to out-of-network clients, making quality mental health care more accessible to the community.","Raleigh, NC",919-514-3566,https://www.threeoaksbehavioralhealth.com,approved,Licensed Clinical Social Worker Associate,"{BCBS,Aetna,Cigna,Out-of-Network}",,,"{therapist,counselor,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
169,"Maira Munir, LCSW",Healthcare,"Ooffers compassionate, holistic therapy through Integrative Wellness Counseling & Consulting in Cary, helping individuals from diverse backgrounds navigate life's challenges and restore a sense of purpose and wholeness. Accepting BCBS, UHC, and Aetna, Maira provides a safe, affirming space where heart, mind, body, and spirit are all welcomed and honored.","Cary, NC",919-792-8846,https://www.integrativewellnesscc.com,approved,Licensed Clinical Social Worker,"{BCBS,UHC,Aetna,Out-of-Network,""Accepts insurance"",""Telehealth available"",""Cash / self-pay"",""Mental health"",Women-owned,""Female provider"",Urdu-speaking}",,,"{therapist,counselor,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
170,"Ronnie Rizek, LCMHC",Healthcare,Muslim therapist offering mental health counseling services.,"Garner, NC",919-276-8683,https://newheightscounselingnc.com,approved,Licensed Clinical Mental Health Counselor,"{BCBS,Cigna,Aetna,UHC}",,,"{therapist,counselor,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
171,"Aqsa Salman, LCMHC",Healthcare,Muslim therapist offering mental health counseling services.,Telehealth,984-985-2729,https://mindfulreflectionstherapy.wordpress.com,approved,Licensed Clinical Mental Health Counselor,"{BCBS,Aetna,Out-of-Network}",,,"{therapist,counselor,mental-health,telehealth}",,,,,,,,2026-03-13 20:28:11.464577
172,"Arwa Saleh, LCMHC, LPC",Healthcare,Muslim therapist offering mental health counseling services.,"Durham, NC",984-214-7875,https://www.psychologytoday.com,approved,Licensed Clinical Mental Health Counselor,"{Aetna,Cigna,UHC,Out-of-Network}",,,"{therapist,counselor,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
173,"Saphia Shaffie, LCSWA",Healthcare,Muslim therapist offering mental health counseling services.,"Durham, NC",984-983-5371,https://www.psychologytoday.com,approved,Licensed Clinical Social Worker Associate,"{BCBS,Cigna,Aetna,UHC}",,,"{therapist,counselor,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
174,"Raniya Shakir, LCMHC-A",Healthcare,Muslim therapist offering mental health counseling services.,"Fayetteville, NC",910-838-5996,https://www.springlakecounseling.com,approved,Licensed Clinical Mental Health Counselor Associate,{Out-of-Network},,,"{therapist,counselor,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
175,"Arshiya Siddiqui, LCSW",Healthcare,Muslim therapist offering mental health counseling services.,"Raleigh, NC",919-629-0664,https://www.acapraleigh.com,approved,Licensed Clinical Social Worker,"{BCBS,Cigna,Aetna,Tricare,Ambetter}",,,"{therapist,counselor,mental-health}",,,,,,,,2026-03-13 20:28:11.464577
