id,name,category,subcategory,description,status,featured,location_type,address,service_area_description,phone,website,instagram_url,booking_url,lat,lng,filter_tags,search_aliases,affiliation,community_badge,photo_url,rating,user_ratings_total,created_at
23,Triangle Family Dentistry - Fuquay-Varina,Healthcare,Dentistry,"Multi-location family dental practice serving the Triangle, providing cleanings, restorative procedures, and cosmetic dentistry for patients of all ages. This location is in Fuquay-Varina on N Main St.",approved,False,physical,"1625 N Main St, Fuquay-Varina, NC 27526",,(919) 396-5802,https://www.trianglefamilydentistry.com,,,35.5966186,-78.76122149999999,"[""Accepts insurance"", ""Walk-ins welcome""]","[""dentist"", ""dental"", ""teeth"", ""family dentist""]",,,,4.7,515.0,2026-03-08 04:48:11.536862
24,Triangle Family Dentistry - Holly Springs,Healthcare,Dentistry,"Multi-location family dental practice serving the Triangle, providing cleanings, restorative procedures, and cosmetic dentistry for patients of all ages. This location is in Holly Springs on S Main St.",approved,False,physical,"1070 S Main St, Holly Springs, NC 27540",,(984) 201-0245,https://www.trianglefamilydentistry.com,,,35.6346715,-78.83778830000001,"[""Accepts insurance"", ""Walk-ins welcome""]","[""dentist"", ""dental"", ""teeth"", ""family dentist""]",,,,5.0,220.0,2026-03-08 04:48:11.589067
25,Triangle Family Dentistry - Morrisville,Healthcare,Dentistry,"Multi-location family dental practice serving the Triangle, providing cleanings, restorative procedures, and cosmetic dentistry for patients of all ages. This location is in Morrisville on Davis Dr.",approved,False,physical,"3607 Davis Dr, Morrisville, NC 27560",,(919) 296-4016,https://www.trianglefamilydentistry.com,,,35.8213109,-78.8497943,"[""Accepts insurance"", ""Walk-ins welcome""]","[""dentist"", ""dental"", ""teeth"", ""family dentist""]",,,,4.4,694.0,2026-03-08 04:48:11.640352
26,Triangle Family Dentistry - Pittsboro,Healthcare,Dentistry,"Multi-location family dental practice serving the Triangle, providing cleanings, restorative procedures, and cosmetic dentistry for patients of all ages. This location is in Pittsboro at Lifestyle Place.",approved,False,physical,"50 Lifestyle Pl, Pittsboro, NC 27312",,(984) 282-7813,https://www.trianglefamilydentistry.com,,,35.7562831,-79.16601630000001,"[""Accepts insurance"", ""Walk-ins welcome""]","[""dentist"", ""dental"", ""teeth"", ""family dentist""]",,,,4.9,69.0,2026-03-08 04:48:11.732851
27,Triangle Family Dentistry - Rolesville,Healthcare,Dentistry,"Multi-location family dental practice serving the Triangle, providing cleanings, restorative procedures, and cosmetic dentistry for patients of all ages. This location is in Rolesville on Redford Place Dr.",approved,False,physical,"101 Redford Place Dr, Rolesville, NC 27571",,(919) 396-5710,https://www.trianglefamilydentistry.com,,,35.9186583,-78.4641584,"[""Accepts insurance"", ""Walk-ins welcome""]","[""dentist"", ""dental"", ""teeth"", ""family dentist""]",,,,4.8,142.0,2026-03-08 04:48:11.784433
28,Triangle Family Dentistry - Wake Forest Heritage,Healthcare,Dentistry,"Multi-location family dental practice serving the Triangle, providing cleanings, restorative procedures, and cosmetic dentistry for patients of all ages. This location is in Wake Forest on Heritage Branch Rd.",approved,False,physical,"1936 Heritage Branch Rd, Wake Forest, NC 27587",,(984) 401-9001,https://www.trianglefamilydentistry.com,,,35.9496792,-78.5187479,"[""Accepts insurance"", ""Walk-ins welcome""]","[""dentist"", ""dental"", ""teeth"", ""family dentist""]",,,,4.8,153.0,2026-03-08 04:48:11.835388
29,Triangle Family Dentistry - Wake Forest Rogers,Healthcare,Dentistry,"Multi-location family dental practice serving the Triangle, providing cleanings, restorative procedures, and cosmetic dentistry for patients of all ages. This location is in Wake Forest on Rogers Rd.",approved,False,physical,"3415 Rogers Rd, Wake Forest, NC 27587",,(919) 396-5657,https://www.trianglefamilydentistry.com,,,35.950817,-78.51179619999999,"[""Accepts insurance"", ""Walk-ins welcome""]","[""dentist"", ""dental"", ""teeth"", ""family dentist""]",,,,4.6,691.0,2026-03-08 04:48:11.886559
30,Crescent Private Wealth,Services,,Financial advisory firm in Cary specializing in Sharia-compliant wealth management and halal investing strategies for Muslim and values-driven clients.,approved,False,physical,"1400 Crescent Green Suite 100, Cary, NC 27518",,(919) 439-6090,https://www.crescentpw.com/,,,35.7347985,-78.78453809999999,"[""Financial planning"", ""By appointment only""]","[""financial advisor"", ""wealth management"", ""halal investing"", ""Islamic finance""]",,,,,,2026-03-08 04:48:42.05188
31,Triland Commercial,Real Estate,,"Commercial real estate brokerage in the Triangle specializing in office, retail, and industrial properties, serving buyers, sellers, and tenants across the region.",approved,False,service_area,,Serves the Triangle area,(919) 443-3034,http://www.trilandcre.com/,,,35.7347985,-78.78453809999999,"[""Commercial""]","[""commercial real estate"", ""office space"", ""retail space""]",,,,4.3,3.0,2026-03-08 04:48:42.107596
32,"Dr. Amjad Badwan, OD",Healthcare,Optometry,"Optometrist in the Triangle providing comprehensive eye exams, contact lens fittings, and vision care for patients of all ages.",approved,False,service_area,,Serves the Triangle area,(919) 859-0777,http://www.wakefamilyeyecare.com/,,,35.7454122,-78.7675787,"[""Accepts insurance""]","[""eye doctor"", ""optometrist"", ""eye exam"", ""glasses"", ""contacts""]",,,,4.8,13.0,2026-03-08 04:48:42.159193
33,"Dr. Abood Dahnoun, OD",Healthcare,Optometry,"Optometrist in Raleigh offering comprehensive eye exams, contact lens fittings, and vision care, with Arabic-speaking services available.",approved,False,physical,"7800 Fayetteville Rd, Raleigh, NC 27603",,(984) 810-5045,https://seemoreod.com/,,,35.6683503,-78.6986666,"[""Arabic-speaking"", ""Accepts insurance""]","[""eye doctor"", ""optometrist"", ""eye exam"", ""glasses"", ""Arabic""]",,,,5.0,14.0,2026-03-08 04:48:42.209322
34,"Dr. Ali Jaffry, OD",Healthcare,Optometry,"Optometrist at a MyEyeDr. location in Raleigh's Village District, offering comprehensive eye exams, optical fittings, and vision care in a welcoming clinical setting.",approved,False,physical,"2024 Cameron St, Raleigh, NC 27605",,(919) 863-2015,https://locations.myeyedr.com/nc/raleigh/2024-cameron-st,,,35.7912934,-78.660188,"[""Male provider"", ""Accepts insurance"", ""Walk-ins welcome""]","[""eye doctor"", ""optometrist"", ""eye exam"", ""MyEyeDr"", ""glasses""]",MyEyeDr,,,4.2,5.0,2026-03-08 04:48:42.259957
36,Your Budget Movers,Services,,"Residential and commercial moving company serving the Triangle, offering affordable relocation services with transparent pricing and no hidden fees.",approved,False,service_area,,Serves the Triangle area,(919) 504-2203,http://www.yourbudgetmover.com/,,,35.898596399999995,-78.8946268,"[""Walk-ins welcome""]","[""movers"", ""moving company"", ""relocation"", ""affordable moving""]",,,,4.7,501.0,2026-03-08 04:48:42.362816
37,RDU Pressure Pros,Services,,Professional pressure washing and exterior cleaning company serving residential and commercial properties across the Triangle area.,approved,False,service_area,,Serves the Triangle area,(919) 436-2108,http://www.rdupressurepros.com/,,,35.8031827,-78.8067173,"[""Walk-ins welcome""]","[""pressure washing"", ""power washing"", ""exterior cleaning""]",,,,5.0,87.0,2026-03-08 04:48:42.415346
38,AM Realty Group,Real Estate,,"Full-service real estate agency serving buyers, sellers, and investors across the Triangle, providing guidance through every stage of the buying and selling process.",approved,False,service_area,,Serves the Triangle area,(910) 474-3626,http://www.amrealtygroupllc.com/,,,35.8446807,-78.641926,"[""Buyer's agent"", ""Seller's agent""]","[""realtor"", ""real estate agent"", ""homes for sale"", ""buy house""]",,,,5.0,97.0,2026-03-08 04:48:42.466155
39,Raleigh Moving Company,Services,,"Full-service moving company in Raleigh offering local and long-distance residential moves, commercial relocations, and packing and unpacking services.",approved,False,physical,"517 Pylon Dr, Raleigh, NC 27606",,"919.694.3788
",https://www.raleighmovingcompany.com,https://www.instagram.com/raleighmovingcompany/?hl=en,,35.7937373,-78.70076159999999,"[""Walk-ins welcome""]","[""movers"", ""moving company"", ""relocation""]",,,,5.0,2357.0,2026-03-08 05:00:35.867106
40,Curate Studio,Events,Venue,"2,800 sq ft event venue in Apex offering an open floor plan, platform stage, hardwood flooring, and a 6-speaker sound system for private events, corporate gatherings, and micro-weddings.",approved,False,physical,"3651 Green Level W Rd Suite 101, Apex, NC 27523",,(919) 589-3436,http://www.curatestudioevents.com/,https://www.instagram.com/curatestudioevents/,,35.7779112,-78.9046644,"[""Women-owned"", ""Indoor venue""]","[""event space"", ""party hall"", ""community room""]",,,,5.0,142.0,2026-03-09 01:13:44.582638
41,Mousa Alshanteer,Services,,"Attorney at Brooks Pierce in Raleigh practicing healthcare law, business and corporate law, and mergers and acquisitions, serving clients across a range of transactional matters.",approved,False,physical,"230 North Elm Street, 2000 Renaissance Plaza, Greensboro, NC 27401",,(336) 373-8850,https://www.brookspierce.com/people-mousa-alshanteer,,,,,"[""Legal services"", ""By appointment only""]","[""lawyer"", ""attorney"", ""legal""]",Brooks Pierce,Member of NC Muslim Bar,,,,2026-03-09 02:54:41.818681
43,Patterson Harkavy LLP,Services,,"Law firm in Raleigh practicing civil rights, employment law, workers' compensation, labor law, and police misconduct litigation on behalf of individuals and organizations.",approved,False,physical,"100 Europa Drive, Suite 420, Chapel Hill, NC 27517",,(919) 942-5200,https://www.pathlaw.com,,,,,"[""Legal services"", ""By appointment only""]","[""lawyer"", ""attorney"", ""legal""]",,Member of NC Muslim Bar,,,,2026-03-09 02:54:41.939477
44,"Ayeshinaye Smith, Esq.",Services,,"Family law and estates attorney offering legal counsel in family matters, estate planning, estate administration, and guardianship proceedings in North Carolina.",approved,False,physical,"4816 Six Forks Road, Suite 202, Raleigh, NC 27609",,(919) 390-3512,https://www.smithdominguez.com,,,,,"[""Women-owned""]","[""lawyer"", ""attorney"", ""legal""]",Smith Dominguez Law,Member of NC Muslim Bar,,,,2026-03-09 02:54:41.997757
45,"The Law Office of Derrick J. Hensley, PLLC",Services,,"Raleigh-area practice focusing on child welfare and adoption law, immigration, and international family law matters.",approved,False,physical,"401 Meadowlands Dr. Ste. 201, Hillsborough, NC 27278",,(919) 480-1999,https://www.LODJH.com,,,,,"[""Legal services"", ""By appointment only""]","[""lawyer"", ""attorney"", ""legal""]",The Law Office of Neubia L. Harris PLLC,Member of NC Muslim Bar,,,,2026-03-09 02:54:42.055159
46,Safwan Ali,Services,,"Immigration and traffic defense attorney at Ali Law Firm in Henderson, NC, representing clients in visa matters, green card petitions, and traffic citations.",approved,False,physical,"PO Box 1046, Henderson, NC 27536",,(919) 213-1945,https://www.alilawfirm.net,,,,,"[""Legal services"", ""By appointment only""]","[""lawyer"", ""attorney"", ""legal""]",Ali Law Firm PLLC,Member of NC Muslim Bar,,,,2026-03-09 02:54:42.111996
47,Omar Baloch,Services,,"Immigration attorney at The Law Offices of Omar Baloch in Raleigh, handling visa applications, green card petitions, deportation defense, and related immigration matters.",approved,False,physical,"8801 Fast Park Drive, Suite 313, Raleigh, NC 27617",,(919) 834-3535,https://www.balochlaw.com,,,,,"[""Legal services"", ""By appointment only""]","[""lawyer"", ""attorney"", ""legal""]","The Law Offices of Omar Baloch, PLLC",Member of NC Muslim Bar,,,,2026-03-09 02:54:42.168637
48,Nigel Edwards,Services,,"Immigration attorney at The Law Offices of Omar Baloch in Raleigh, representing individuals in personal immigration matters including visas and deportation defense, excluding business immigration.",approved,False,physical,"8801 Fast Park Drive, Suite 313, Raleigh, NC 27617",,(919) 834-3535,https://www.balochlaw.com,,,,,"[""Legal services"", ""By appointment only""]","[""lawyer"", ""attorney"", ""legal""]","The Law Offices of Omar Baloch, PLLC",Member of NC Muslim Bar,,,,2026-03-09 02:54:42.225675
49,Pooyan Ordoubadi,Services,,"Attorney in Pittsboro practicing immigration law, criminal defense, and family law, providing legal counsel and courtroom representation across civil and criminal matters in North Carolina.",approved,False,physical,"33 Hillsboro Street, Pittsboro, NC 27312",,(919) 351-1101,https://pordolaw.com,,,,,"[""Legal services"", ""By appointment only""]","[""lawyer"", ""attorney"", ""legal""]",Law Office of Pooyan Ordoubadi,Member of NC Muslim Bar,,,,2026-03-09 02:54:42.282519
56,Sammy Naji,Services,,"Attorney at Triangle Legal in Cary handling personal injury, wills and trusts, business law, and civil litigation for clients across the Triangle.",approved,False,physical,"2500 Regency Parkway, Cary, NC 27518",,(919) 590-3647,https://www.triangle.legal/,,,,,"[""Arabic-speaking""]","[""lawyer"", ""attorney"", ""legal""]",Triangle Legal,Member of NC Muslim Bar,,,,2026-03-09 05:17:31.027927
57,Nada Mohamed,Services,,"Estate planning and real estate transactions attorney in Durham, helping clients structure wills and trusts and navigate property-related legal matters.",approved,False,physical,"64 Forest View Place, Durham, NC 27713",,(919) 808-0067,https://nrmlawoffice.com,,,,,"[""Legal services"", ""By appointment only""]","[""lawyer"", ""attorney"", ""legal""]","Law Office of Nada Mohamed, PLLC",Member of NC Muslim Bar,,,,2026-03-09 05:17:31.084133
58,Hay'ralah Alghorazi,Services,,"Estate planning attorney at Triangle Legal in Cary, assisting clients with wills, trusts, and end-of-life planning, with Arabic-language services available.",approved,False,physical,"2500 Regency Parkway, Cary, NC 27518",,(919) 590-3647,https://www.triangle.legal/,,,,,"[""Arabic-speaking""]","[""lawyer"", ""attorney"", ""legal""]",Triangle Legal,Member of NC Muslim Bar,,,,2026-03-09 05:17:31.140324
69,"Dr. Osama Said, OD",Healthcare,Optometry,"Optometrist in the Triangle providing comprehensive eye exams, contact lens evaluations, and vision care for patients across the region.",approved,False,physical,"6566 Glenwood Ave, Raleigh, NC 27612",,(919) 783-0011,https://locations.myeyedr.com/nc/raleigh/6566-glenwood-ave?utm_source=google-gmb&utm_medium=organic,,https://locations.myeyedr.com/nc/raleigh/6566-glenwood-ave,35.8612593,-78.7059003,"[""Arabic-speaking"", ""Accepts insurance""]","[""eye doctor"", ""optometrist"", ""eye exam"", ""glasses"", ""contacts""]",MyEyeDr,,,3.6,102.0,2026-03-10 05:20:47.151273
70,Hanane Jamili,Creator,Artist,"Triangle-based visual artist offering original paintings, Arabic calligraphy, and custom commissioned pieces, working at the intersection of storytelling and fine art.",approved,False,service_area,,Serves the Triangle area,,https://www.hananejamili.com/,https://www.instagram.com/hanane_jamili_collection?igsh=eHBrbWkxaXBwM2Nq,,,,"[""Women-owned"", ""Commission open"", ""Islamic content""]","[""artist"", ""art"", ""painting"", ""Arabic calligraphy"", ""custom art"", ""commission""]",Hanane Jamili Collection,,https://www.hananejamili.com/cdn/shop/files/Screenshot_2025-03-11_232807.png,,,2026-03-10 14:35:28.713302
81,IRIMA General Contracting,Services,,"Triangle-area general contracting company providing residential and commercial construction, renovation, and project management services.",approved,False,service_area,,Serves the Triangle area,,https://www.google.com/maps/place/IRIMA+General+Contracting,https://www.instagram.com/buildirima/,,35.8406256,-78.7291235,"[""Construction""]","[""contractor"", ""construction"", ""renovation"", ""builder""]",,,,,,2026-03-10 16:38:10.902171
82,Mecca Market,Grocery,,"Halal grocery store on Western Blvd in Raleigh offering halal meats, international food products, and specialty ingredients serving the Triangle's Muslim and immigrant communities.",approved,False,physical,"3913 Western Blvd, Raleigh, NC 27606",,(919) 615-1286,https://mecca-market.com/,,,35.784016,-78.690765,"[""Halal meat"", ""Zabiha"", ""Middle Eastern"", ""South Asian""]","[""halal grocery"", ""halal food"", ""halal meat"", ""international grocery"", ""Middle Eastern""]",,,,4.4,796.0,2026-03-11 01:02:48.685333
83,Inline Auto Sale,Automotive,,Pre-owned vehicle dealership in Fuquay-Varina offering a selection of used cars and trucks with a straightforward buying experience for Triangle-area customers.,approved,False,physical,"2900 N Main St, Fuquay-Varina, NC 27526",,(919) 557-0021,https://www.inlineautosale.com/,,,35.6152813,-78.7353996,"[""Dealership""]","[""used cars"", ""auto sales"", ""pre-owned vehicles""]",,,,4.5,1821.0,2026-03-11 04:40:55.593277
84,The Rumman Room,Events,Venue,"Private event venue in Raleigh offering a versatile, appointed space for weddings, celebrations, corporate events, and community gatherings.",approved,False,physical,"5104 Western Blvd STE A, Raleigh, NC 27606",,(919) 946-3687,https://www.rummanroom.com/,,,35.7869669,-78.7113686,"[""Indoor venue"", ""Gender-separated option""]","[""event venue"", ""wedding venue"", ""party venue"", ""event space""]",,,,4.8,21.0,2026-03-11 04:41:27.873785
85,North Hills Motors of Raleigh NC,Automotive,,"Pre-owned vehicle dealership in Raleigh offering a selection of used cars and trucks, with Arabic-speaking staff available to assist buyers throughout the process.",approved,False,physical,"5108 Western Blvd, Raleigh, NC 27606",,(919) 834-4444,http://www.northhillsmotors.com/,,,35.7869443,-78.7119026,"[""Dealership"", ""Arabic-speaking""]","[""used cars"", ""auto sales"", ""Arabic""]",,,,4.6,819.0,2026-03-11 04:41:57.868424
86,Classic Performance Auto,Automotive,,"Automotive service and repair shop in Raleigh specializing in performance vehicles, offering maintenance, diagnostics, and custom work for enthusiasts in the Triangle.",approved,False,physical,"1012 Trinity Rd, Raleigh, NC 27607",,(919) 233-5381,https://www.classicperformanceauto.com/,,,35.7928346,-78.7509255,"[""Mechanic / Repair""]","[""auto repair"", ""mechanic"", ""performance"", ""car service""]",,,,4.2,148.0,2026-03-11 04:42:30.688819
87,Foursquare Property Management,Real Estate,,"Residential and commercial property management company in Raleigh, handling leasing, maintenance coordination, and tenant relations on behalf of property owners across the Triangle.",approved,False,physical,"4509 Creedmoor Rd Suite 201, Raleigh, NC 27612",,(919) 977-6508,http://www.foursquarenc.com/,,,35.842445399999995,-78.683267,"[""Rental properties""]","[""property management"", ""landlord"", ""rental management""]",,,,4.7,127.0,2026-03-11 04:43:39.198225
88,Zakat Foundation of America Community Center,Events,,"Community center in Durham serving as a local hub for programming and Islamic outreach, affiliated with the national Zakat Foundation's humanitarian mission.",approved,False,physical,"5110 Revere Rd, Durham, NC 27713",,,https://zakat.org/,,,35.8943467,-78.9112644,"[""Indoor venue"", ""Gender-separated option""]","[""Islamic center"", ""community center"", ""zakat"", ""charity""]",,,,4.7,12.0,2026-03-11 04:44:03.259331
89,"Dr. Nouman Siddiqui, MD",Healthcare,Ophthalmology,"Ophthalmologist in Raleigh specializing in glaucoma diagnosis and treatment, providing medical and surgical eye care with Urdu-speaking services available.",approved,False,physical,"4201 Lake Boone Trail Suite 205, Raleigh, NC 27607",,(919) 659-8436,http://ncglaucoma.com/,,,35.814712,-78.7005401,"[""Urdu-speaking"", ""Accepts insurance""]","[""eye doctor"", ""ophthalmologist"", ""glaucoma"", ""eye surgery"", ""Urdu""]",,,,4.6,42.0,2026-03-11 04:45:05.133341
90,"Dr, Ruhina Shemna, OD",Healthcare,Optometrist,"Dr. Ruhina Shemna is an optometrist at a MyEyeDr. location in Cary offering comprehensive eye exams, contact lens fittings, and optical services.",approved,False,physical,"2346 Walnut St, Cary, NC 27518",,(919) 851-0093,https://locations.myeyedr.com/nc/cary/2346-walnut-st,,,35.7545886,-78.74547319999999,"[""Female provider"", ""Accepts insurance""]","[""eye doctor"", ""optometrist"", ""eye exam"", ""MyEyeDr"", ""glasses""]",,,,4.0,5.0,2026-03-11 04:46:43.47045
91,Dr. Sarah Cheema,Healthcare,Pediatrics,"Pediatrician at TKC Pediatrics in Cary offering primary care for infants, children, and adolescents, with Urdu-speaking services available at this women-owned practice.",approved,False,physical,"216 Ashville Ave # 60, Cary, NC 27518",,(919) 655-7873,http://www.tkcpediatrics.com/,,,35.741313,-78.783429,"[""Women-owned"", ""Urdu-speaking"", ""Female provider"", ""Accepts insurance""]","[""pediatrician"", ""kids doctor"", ""child doctor"", ""Urdu""]",,,,4.9,107.0,2026-03-11 04:50:09.138412
92,Khalifa Rugs,Retail,,"Triangle-area rug dealer specializing in hand-knotted silk and wool oriental rugs, offering personalized appointments to help customers find the right piece for their home.",approved,False,physical,"2100 Barnes St, Reidsville, NC 27320",,(984) 212-3899,https://khalifaorientalrugs.com/,,,36.325645,-79.6417179,"[""Urdu-speaking""]","[""rugs"", ""oriental rugs"", ""Persian rugs"", ""carpet""]",,,,5.0,4.0,2026-03-11 05:01:41.262101
103,NC Halal Meat,Grocery,,"Online halal butcher offering fresh, ethically sourced lamb, beef, and goat in a variety of cuts, with delivery and pickup options available across the Triangle.",approved,False,physical,"6301 US Hwy 13 S, Mt Olive, NC 28365",,(919) 999-0040,https://www.nchalalmeat.com/,,,35.274763199999995,-78.2871435,"[""Halal meat"", ""Zabiha"", ""Arabic-speaking""]","[""halal meat"", ""halal butcher"", ""zabiha"", ""lamb"", ""goat"", ""beef""]",,,,4.8,20.0,2026-03-11 15:11:16.551935
108,Fenn Makeup and Spa by Amani,Services,,"Beauty studio in Raleigh offering professional makeup artistry, skin treatments, and waxing services, with Arabic-speaking staff available.",approved,False,physical,"930 Vintage Jones Wy, Raleigh, NC 27606",,(984) 286-5857,https://www.fennmakeupandspa.com/,,,35.7665136,-78.7265865,"[""Women-owned"", ""Arabic-speaking""]","[""makeup artist"", ""bridal makeup"", ""spa"", ""esthetics"", ""Arabic""]",,,,5.0,40.0,2026-03-11 20:06:46.226517
144,Sound Station and Security,Automotive,,"Automotive electronics and security shop in Raleigh offering car audio installation, alarm systems, remote start, and window tinting, with Arabic-speaking staff available.",approved,False,physical,"7105 Glenwood Ave, Raleigh, NC 27612",,(919) 758-8404,http://www.soundstationsecurity.net/,,,35.864044199999995,-78.7152231,"[""Arabic-speaking""]","[""car audio"", ""car alarm"", ""tint"", ""remote start"", ""Arabic""]",,,,4.2,320.0,2026-03-13 17:16:39.198381
146,"Asma Abu-Dahab, LCSW",Healthcare,Licensed Clinical Social Worker,Licensed Clinical Social Worker providing individual therapy and mental health counseling services to clients in the Triangle area.,approved,False,service_area,,Serves the Triangle area,646-759-9729,https://www.asmaabudahab.com,,,,,"[""Mental health"", ""Telehealth available"", ""By appointment only""]","[""therapist"", ""counselor"", ""mental-health""]",,,,,,2026-03-13 20:28:11.464577
147,"Asil Abuhammoud, LCMHCA",Healthcare,Licensed Clinical Mental Health Counselor Associate,Licensed Clinical Mental Health Counselor Associate providing counseling and mental health support services to individuals in the Triangle area.,approved,False,service_area,,Serves the Triangle area,984-400-8110,https://www.psychologytoday.com,,,,,"[""Mental health"", ""Telehealth available"", ""By appointment only""]","[""therapist"", ""counselor"", ""mental-health""]",,,,,,2026-03-13 20:28:11.464577
148,"Mariam Abdulraheem, LCSWA, LCASA",Healthcare,Licensed Clinical Social Worker Associate,Licensed Clinical Social Worker Associate and Licensed Clinical Addictions Specialist Associate offering therapy and substance use support services in the Triangle.,approved,False,service_area,,Serves the Triangle area,984-357-1073,https://www.psychologytoday.com,,,,,"[""Mental health"", ""Telehealth available"", ""By appointment only""]","[""therapist"", ""counselor"", ""mental-health""]",,,,,,2026-03-13 20:28:11.464577
149,"Zumrad Ahmedjanova, LCSW, LCAS, CCS",Healthcare,Licensed Clinical Social Worker,"Licensed Clinical Social Worker and Certified Clinical Supervisor with specializations in addictions, providing individual therapy and clinical support services in the Triangle.",approved,False,service_area,,Serves the Triangle area,919-636-9170,https://www.artofwellnessnc.com,,,,,"[""Mental health"", ""Telehealth available"", ""By appointment only""]","[""therapist"", ""counselor"", ""mental-health""]",,,,,,2026-03-13 20:28:11.464577
